commodity_label,commodity_name,feature,coefficient,abs_coefficient
Natural_Gas,NATURAL GAS,own_drawdown_from_63d_high,-0.0032657409529404068,0.0032657409529404068
Natural_Gas,NATURAL GAS,eur_1m_forward_level,-0.003057131191967198,0.003057131191967198
Natural_Gas,NATURAL GAS,commodity_market_ret_63d,0.0030061206679543894,0.0030061206679543894
Natural_Gas,NATURAL GAS,em_fx_stress_ret_21d,0.0028005110523238405,0.0028005110523238405
Natural_Gas,NATURAL GAS,credit_ig_chg_21d,0.0023056199342743264,0.0023056199342743264
Natural_Gas,NATURAL GAS,spx_realised_vol_21d,-0.001828647402185154,0.001828647402185154
Natural_Gas,NATURAL GAS,own_ret_63d,-0.0017525302297110691,0.0017525302297110691
Natural_Gas,NATURAL GAS,own_ret_5d,-0.00163596915251476,0.00163596915251476
Natural_Gas,NATURAL GAS,fx_atm_vol_level,-0.0013763779181249437,0.0013763779181249437
Natural_Gas,NATURAL GAS,global_10y_level,-0.0013562026854200375,0.0013562026854200375
Natural_Gas,NATURAL GAS,own_drawdown_from_252d_high,0.0010623190987207225,0.0010623190987207225
Natural_Gas,NATURAL GAS,fx_rr_chg_21d,0.001025194922355123,0.001025194922355123
Natural_Gas,NATURAL GAS,global_equity_ret_21d,0.0010222815236926766,0.0010222815236926766
Natural_Gas,NATURAL GAS,fx_atm_vol_chg_21d,-0.0006809724432961403,0.0006809724432961403
Natural_Gas,NATURAL GAS,us_10y_level,0.0004628248529767871,0.0004628248529767871
Natural_Gas,NATURAL GAS,us_10y_chg_21d,-0.00038104144508836535,0.00038104144508836535
Natural_Gas,NATURAL GAS,easi_global_chg_21d,-0.0003400489671192202,0.0003400489671192202
Natural_Gas,NATURAL GAS,us_3m_rate_level,0.0003129218092137631,0.0003129218092137631
Natural_Gas,NATURAL GAS,credit_hy_chg_21d,-9.30235400416314e-05,9.30235400416314e-05
Natural_Gas,NATURAL GAS,us_curve_10y_minus_3m,-4.243970674813211e-05,4.243970674813211e-05
Natural_Gas,NATURAL GAS,own_vol_ratio_21d_60d,1.0032646029068724e-05,1.0032646029068724e-05
