Date,EUR1M BGN Curncy
2013-10-02,1.357996
2013-10-03,1.361997
2013-10-04,1.355904
2013-10-07,1.358228
2013-10-08,1.357463
2013-10-09,1.352571
2013-10-10,1.352138
2013-10-11,1.354531
2013-10-14,1.356251
2013-10-15,1.352551
2013-10-16,1.353556
2013-10-17,1.367631
2013-10-18,1.368832
2013-10-21,1.368243
2013-10-22,1.378218
2013-10-23,1.377718
2013-10-24,1.380197
2013-10-25,1.380297
2013-10-28,1.378593
2013-10-29,1.374588
2013-10-30,1.373682
2013-10-31,1.358488
2013-11-01,1.348787
2013-11-04,1.3515
2013-11-05,1.347497
2013-11-06,1.351389
2013-11-07,1.341984
2013-11-08,1.336783
2013-11-11,1.340783
2013-11-12,1.343692
2013-11-13,1.348794
2013-11-14,1.346183
2013-11-15,1.349678
2013-11-18,1.350678
2013-11-19,1.353877
2013-11-20,1.343975
2013-11-21,1.34827
2013-11-22,1.355846
2013-11-25,1.351744
2013-11-26,1.357257
2013-11-27,1.357958
2013-11-28,1.360581
2013-11-29,1.359087
2013-12-02,1.354179
2013-12-03,1.358772
2013-12-04,1.359272
2013-12-05,1.366653
2013-12-06,1.370522
2013-12-09,1.3738
2013-12-10,1.375995
2013-12-11,1.378506
2013-12-12,1.375202
2013-12-13,1.37408
2013-12-16,1.375949
2013-12-17,1.376643
2013-12-18,1.368424
2013-12-19,1.366062
2013-12-20,1.367236
2013-12-23,1.369497
2013-12-24,1.367893
2013-12-25,1.367998
2013-12-26,1.368986
2013-12-27,1.374782
2013-12-30,1.380095
2013-12-31,1.374277
2014-01-01,1.376285
2014-01-02,1.367179
2014-01-03,1.358902
2014-01-06,1.362896
2014-01-07,1.361563
2014-01-08,1.357562
2014-01-09,1.360762
2014-01-10,1.366973
2014-01-13,1.367087
2014-01-14,1.367859
2014-01-15,1.360417
2014-01-16,1.361898
2014-01-17,1.354023
2014-01-20,1.355127
2014-01-21,1.356041
2014-01-22,1.354649
2014-01-23,1.369559
2014-01-24,1.367765
2014-01-27,1.367258
2014-01-28,1.367059
2014-01-29,1.36627
2014-01-30,1.355483
2014-01-31,1.34861
2014-02-03,1.352491
2014-02-04,1.35188
2014-02-05,1.353298
2014-02-06,1.358969
2014-02-07,1.363468
2014-02-10,1.364552
2014-02-11,1.363759
2014-02-12,1.359281
2014-02-13,1.36809
2014-02-14,1.369285
2014-02-17,1.370685
2014-02-18,1.375883
2014-02-19,1.373282
2014-02-20,1.371882
2014-02-21,1.374582
2014-02-24,1.373495
2014-02-25,1.374487
2014-02-26,1.368687
2014-02-27,1.370992
2014-02-28,1.380174
2014-03-03,1.37348
2014-03-04,1.374281
2014-03-05,1.373278
2014-03-06,1.386043
2014-03-07,1.387422
2014-03-10,1.387641
2014-03-11,1.385953
2014-03-12,1.390256
2014-03-13,1.386765
2014-03-14,1.391356
2014-03-17,1.392148
2014-03-18,1.393338
2014-03-19,1.383237
2014-03-20,1.377835
2014-03-21,1.379317
2014-03-24,1.383807
2014-03-25,1.382513
2014-03-26,1.377989
2014-03-27,1.373904
2014-03-28,1.375115
2014-03-31,1.376811
2014-04-01,1.379203
2014-04-02,1.376607
2014-04-03,1.371881
2014-04-04,1.370368
2014-04-07,1.374081
2014-04-08,1.379595
2014-04-09,1.385384
2014-04-10,1.388484
2014-04-11,1.388388
2014-04-14,1.381997
2014-04-15,1.381402
2014-04-16,1.381525
2014-04-17,1.381319
2014-04-18,1.381223
2014-04-21,1.37922
2014-04-22,1.380388
2014-04-23,1.38157
2014-04-24,1.382961
2014-04-25,1.38324
2014-04-28,1.384959
2014-04-29,1.381109
2014-04-30,1.386601
2014-05-01,1.386897
