Date,IMMBENCN Index,IMMBENCN Index.1,IMM6ANCN Index,IMM6MNCN Index,IMMPFNCN Index,IMM3CNCN Index,IMM6ZNCN Index,IMM4SNCN Index
2006-08-25,81470.0,81470.0,30075.0,24841.0,82786.0,15493.0,11491.0,-10465.0
2006-08-28,81470.0,81470.0,30075.0,24841.0,82786.0,15493.0,11491.0,-10465.0
2006-08-29,81470.0,81470.0,30075.0,24841.0,82786.0,15493.0,11491.0,-10465.0
2006-08-30,81470.0,81470.0,30075.0,24841.0,82786.0,15493.0,11491.0,-10465.0
2006-08-31,81470.0,81470.0,30075.0,24841.0,82786.0,15493.0,11491.0,-10465.0
2006-09-01,79637.0,79637.0,33241.0,22805.0,80877.0,30605.0,10516.0,-12635.0
2006-09-04,79637.0,79637.0,33241.0,22805.0,80877.0,30605.0,10516.0,-12635.0
2006-09-05,79637.0,79637.0,33241.0,22805.0,80877.0,30605.0,10516.0,-12635.0
2006-09-06,79637.0,79637.0,33241.0,22805.0,80877.0,30605.0,10516.0,-12635.0
2006-09-07,79637.0,79637.0,33241.0,22805.0,80877.0,30605.0,10516.0,-12635.0
2006-09-08,75016.0,75016.0,47946.0,27671.0,76043.0,27466.0,11043.0,-19146.0
2006-09-11,75016.0,75016.0,47946.0,27671.0,76043.0,27466.0,11043.0,-19146.0
2006-09-12,75016.0,75016.0,47946.0,27671.0,76043.0,27466.0,11043.0,-19146.0
2006-09-13,75016.0,75016.0,47946.0,27671.0,76043.0,27466.0,11043.0,-19146.0
2006-09-14,75016.0,75016.0,47946.0,27671.0,76043.0,27466.0,11043.0,-19146.0
2006-09-15,66717.0,66717.0,24534.0,8074.0,66758.0,14782.0,9511.0,-33241.0
2006-09-18,66717.0,66717.0,24534.0,8074.0,66758.0,14782.0,9511.0,-33241.0
2006-09-19,66717.0,66717.0,24534.0,8074.0,66758.0,14782.0,9511.0,-33241.0
2006-09-20,66717.0,66717.0,24534.0,8074.0,66758.0,14782.0,9511.0,-33241.0
2006-09-21,66717.0,66717.0,24534.0,8074.0,66758.0,14782.0,9511.0,-33241.0
2006-09-22,51114.0,51114.0,33632.0,2462.0,51218.0,855.0,12882.0,-44034.0
2006-09-25,51114.0,51114.0,33632.0,2462.0,51218.0,855.0,12882.0,-44034.0
2006-09-26,51114.0,51114.0,33632.0,2462.0,51218.0,855.0,12882.0,-44034.0
2006-09-27,51114.0,51114.0,33632.0,2462.0,51218.0,855.0,12882.0,-44034.0
2006-09-28,51114.0,51114.0,33632.0,2462.0,51218.0,855.0,12882.0,-44034.0
2006-09-29,49942.0,49942.0,30089.0,-4267.0,49744.0,6510.0,12673.0,-29020.0
2006-10-02,49942.0,49942.0,30089.0,-4267.0,49744.0,6510.0,12673.0,-29020.0
2006-10-03,49942.0,49942.0,30089.0,-4267.0,49744.0,6510.0,12673.0,-29020.0
2006-10-04,49942.0,49942.0,30089.0,-4267.0,49744.0,6510.0,12673.0,-29020.0
2006-10-05,49942.0,49942.0,30089.0,-4267.0,49744.0,6510.0,12673.0,-29020.0
2006-10-06,56217.0,56217.0,21581.0,5664.0,56190.0,9279.0,7775.0,-30127.0
2006-10-09,56217.0,56217.0,21581.0,5664.0,56190.0,9279.0,7775.0,-30127.0
2006-10-10,56217.0,56217.0,21581.0,5664.0,56190.0,9279.0,7775.0,-30127.0
2006-10-11,56217.0,56217.0,21581.0,5664.0,56190.0,9279.0,7775.0,-30127.0
2006-10-12,56217.0,56217.0,21581.0,5664.0,56190.0,9279.0,7775.0,-30127.0
2006-10-13,36528.0,36528.0,35250.0,9772.0,36194.0,1859.0,10109.0,-60420.0
2006-10-16,36528.0,36528.0,35250.0,9772.0,36194.0,1859.0,10109.0,-60420.0
2006-10-17,36528.0,36528.0,35250.0,9772.0,36194.0,1859.0,10109.0,-60420.0
2006-10-18,36528.0,36528.0,35250.0,9772.0,36194.0,1859.0,10109.0,-60420.0
2006-10-19,36528.0,36528.0,35250.0,9772.0,36194.0,1859.0,10109.0,-60420.0
2006-10-20,26592.0,26592.0,39689.0,52477.0,26457.0,-24498.0,13802.0,-67208.0
2006-10-23,26592.0,26592.0,39689.0,52477.0,26457.0,-24498.0,13802.0,-67208.0
2006-10-24,26592.0,26592.0,39689.0,52477.0,26457.0,-24498.0,13802.0,-67208.0
2006-10-25,26592.0,26592.0,39689.0,52477.0,26457.0,-24498.0,13802.0,-67208.0
2006-10-26,26592.0,26592.0,39689.0,52477.0,26457.0,-24498.0,13802.0,-67208.0
2006-10-27,27151.0,27151.0,56424.0,67083.0,27281.0,-14233.0,15235.0,-70223.0
2006-10-30,27151.0,27151.0,56424.0,67083.0,27281.0,-14233.0,15235.0,-70223.0
2006-10-31,27151.0,27151.0,56424.0,67083.0,27281.0,-14233.0,15235.0,-70223.0
2006-11-01,27151.0,27151.0,56424.0,67083.0,27281.0,-14233.0,15235.0,-70223.0
2006-11-02,27151.0,27151.0,56424.0,67083.0,27281.0,-14233.0,15235.0,-70223.0
